Hour,RPM
0.0,141.02339337421586
1.0,148.691340925974
2.0,149.13282467638425
3.0,154.00292881339269
4.0,152.43915737403356
5.0,117.7210566393771
6.0,118.29372485897736
7.0,120.34857483185216
8.0,140.6556824976786
9.0,148.48066746060155
10.0,152.9997316132438
11.0,153.69069577212335
12.0,149.93498958507098
13.0,148.79089863423374
14.0,145.3277013230939
15.0,147.54682037096728
16.0,152.2369676674961
17.0,146.11828308760627
18.0,157.4534784898544
19.0,145.0971574699016
20.0,157.09562726581663
21.0,143.26653397097908
22.0,153.82044227859424
23.0,152.26665739190324
