Hour,kelvin
0.0,11.79005957927004
1.0,11.34102172934762
2.0,11.371499247343683
3.0,11.344956642418026
4.0,11.438225275511217
5.0,10.000146379134387
6.0,8.429915898933409
7.0,9.458198025976328
8.0,10.798681551441913
9.0,11.053197959282022
10.0,11.533168007626186
11.0,10.975206872678676
12.0,11.504645160765346
13.0,11.326101286299354
14.0,11.476733699164642
15.0,11.370770098717514
16.0,11.208688117519362
17.0,11.253487160353174
18.0,11.532270440555417
19.0,11.580763158015323
20.0,11.117946044159476
21.0,10.906957295006894
22.0,11.25622409353487
23.0,11.860487790018515
